id,sensitivity,specificity
sub-2006_ses-T1_task-rest_vol-0,0.9009348063615394,0.998100704722694
sub-2006_ses-T1_task-rest_vol-1,0.8885091337654685,0.9978015500425554
sub-2006_ses-T1_task-rest_vol-2,0.8716075156576201,0.998832626289978
sub-2006_ses-T1_task-rest_vol-3,0.8601785916129762,0.9989432326243056
sub-2006_ses-T1_task-rest_vol-4,0.8627406310513726,0.9986183562955092
sub-2006_ses-T1_task-rest_vol-5,0.8986267723568159,0.9992199617510202
sub-2006_ses-T1_task-rest_vol-6,0.8316588066434283,0.9998641460218936
sub-2013_ses-T1_task-rest_vol-0,0.9599392181240504,0.9996524375810856
sub-2013_ses-T1_task-rest_vol-1,0.949184351089938,0.9996976636283358
sub-2013_ses-T1_task-rest_vol-2,0.9738639738639738,0.9993837095895984
sub-2013_ses-T1_task-rest_vol-3,0.9776172262360108,0.9994519858774066
sub-2013_ses-T1_task-rest_vol-4,0.975979036249818,0.9995001840639524
sub-2013_ses-T1_task-rest_vol-5,0.1976953008081412,0.999712841374772
sub-2013_ses-T1_task-rest_vol-6,0.1053470511520069,0.9999850340176778
sub-2013_ses-T1_task-rest_vol-7,0.1571633237822349,0.9999880243823576
sub-2013_ses-T1_task-rest_vol-8,0.2139367816091954,0.9999880250993916
sub-2013_ses-T1_task-rest_vol-9,0.139289282146425,1.0
sub-2013_ses-T1_task-rest_vol-10,0.18158819395643,0.999994009770065
sub-2019_ses-T1_task-rest_vol-0,0.6785714285714286,0.999829347519066
sub-2019_ses-T1_task-rest_vol-1,0.7546833184656556,0.9998264047241452
sub-2019_ses-T1_task-rest_vol-2,0.8003472222222222,0.999688088512241
sub-2019_ses-T1_task-rest_vol-3,0.7533039647577092,0.9995792347958112
sub-2020_ses-T2_task-rest_vol-0,0.9832630637536732,0.9995017483829334
sub-2020_ses-T2_task-rest_vol-1,0.98820815175596,0.9991506347729524
sub-2020_ses-T2_task-rest_vol-2,0.987826987826988,0.9991088306778289
sub-2020_ses-T2_task-rest_vol-3,0.983956543708944,0.999333485450768
sub-2020_ses-T2_task-rest_vol-4,0.9865403788634096,0.9995194733427836
sub-2020_ses-T2_task-rest_vol-5,0.969423803142892,0.999468121869206
sub-2020_ses-T2_task-rest_vol-6,0.9799327084835376,0.9994138335287222
sub-2029_ses-T1_task-rest_vol-0,0.4613800205973223,0.9995990364906716
sub-2029_ses-T1_task-rest_vol-1,0.3654667480170835,0.9992793837983948
sub-2029_ses-T1_task-rest_vol-2,0.2850638860331914,0.9995032661745212
sub-2029_ses-T1_task-rest_vol-3,0.2504801536491677,0.9992740721267596
sub-2029_ses-T1_task-rest_vol-4,0.3080424886191198,0.9992284735139144
sub-2031_ses-T1_task-rest_vol-0,0.7728986471501441,0.9994620827798136
sub-2031_ses-T1_task-rest_vol-1,0.9569071657227284,0.9995251253223952
sub-2031_ses-T1_task-rest_vol-2,0.9432379072063178,0.9997417937911794
sub-2033_ses-T1_task-rest_vol-0,0.8619073372994411,0.99944551267719
sub-2033_ses-T1_task-rest_vol-1,0.915728296403923,0.9992428894201248
sub-2033_ses-T1_task-rest_vol-2,0.9276100400145508,0.9992935790207872
sub-2033_ses-T1_task-rest_vol-3,0.9210282966524876,0.9994546836121996
sub-2033_ses-T1_task-rest_vol-4,0.8297047970479705,0.9996096217801248
sub-2033_ses-T1_task-rest_vol-5,0.799766036264379,0.999681417720916
sub-2035_ses-T1_task-rest_vol-0,0.0432541461228148,0.9999939771372128
sub-2035_ses-T1_task-rest_vol-1,0.0744692553074469,0.9999939741067366
sub-2035_ses-T1_task-rest_vol-2,0.0669379886473171,1.0
sub-2035_ses-T1_task-rest_vol-3,0.2155902004454343,0.99997590448538
sub-2035_ses-T1_task-rest_vol-4,0.1644550793996084,0.9999819167083588
sub-2035_ses-T1_task-rest_vol-5,0.0213441330998248,1.0
sub-2035_ses-T1_task-rest_vol-6,0.0014430014430014,0.999996987797568
sub-2035_ses-T1_task-rest_vol-7,0.0122222222222222,1.0
sub-2035_ses-T1_task-rest_vol-8,0.0547588005215123,0.9999879441088888
sub-2037_ses-T1_task-rest_vol-0,0.9843662758235624,0.9993117195391202
sub-2037_ses-T1_task-rest_vol-1,0.9650429799426934,0.9994341145530844
sub-2037_ses-T1_task-rest_vol-2,0.9582349736698748,0.9995826937120884
sub-2037_ses-T1_task-rest_vol-3,0.9409403669724772,0.9994490111984752
sub-2037_ses-T1_task-rest_vol-4,0.9521390896659504,0.9993092627272808
sub-2037_ses-T1_task-rest_vol-5,0.9505756252481145,0.9989611673026664
sub-2037_ses-T1_task-rest_vol-6,0.9671195117149044,0.9994730778505148
sub-2040_ses-T1_task-rest_vol-0,0.9786117836965296,0.998982251901582
sub-2040_ses-T1_task-rest_vol-1,0.9630705394190872,0.9991551943647896
sub-2040_ses-T1_task-rest_vol-2,0.9797797797797798,0.998952371598556
sub-2040_ses-T1_task-rest_vol-3,0.9318181818181818,0.9993521691883308
sub-2040_ses-T1_task-rest_vol-4,0.9271410967344424,0.9992974588938714
sub-2040_ses-T1_task-rest_vol-5,0.9569085833914864,0.999134999701724
sub-2041_ses-T1_task-rest_vol-0,0.9501935483870968,0.9991338318743938
sub-2041_ses-T1_task-rest_vol-1,0.9344884880132922,0.9997357317409934
sub-2041_ses-T1_task-rest_vol-2,0.9346246973365616,0.9994508136863166
sub-2041_ses-T1_task-rest_vol-3,0.8798923679060665,0.9992757580794528
sub-2041_ses-T1_task-rest_vol-4,0.9221991701244814,0.9985347159603246
sub-2041_ses-T1_task-rest_vol-5,0.9405866131862622,0.9990682575526034
sub-2047_ses-T1_task-rest_vol-0,0.9506172839506172,0.999507326671918
sub-2047_ses-T1_task-rest_vol-1,0.9150895140664962,0.9996637535136284
sub-2047_ses-T1_task-rest_vol-2,0.9434666666666668,0.9993895912030362
sub-2047_ses-T1_task-rest_vol-3,0.929287598944591,0.999401351235782
sub-2048_ses-T1_task-rest_vol-0,0.4422233057045344,0.999728566328653
sub-2048_ses-T1_task-rest_vol-1,0.4031879981247069,0.9998612992424578
sub-2048_ses-T1_task-rest_vol-2,0.3428039124359571,0.999923268751199
sub-2048_ses-T1_task-rest_vol-3,0.379740980573543,0.9997934067231355
sub-2051_ses-T1_task-rest_vol-0,0.9517543859649122,0.9995105542305912
sub-2051_ses-T1_task-rest_vol-1,0.982319849986606,0.9995285522402664
sub-2051_ses-T1_task-rest_vol-2,0.9801980198019802,0.9993654653007368
sub-2051_ses-T1_task-rest_vol-3,0.949911459650898,0.999801209948997
sub-2051_ses-T1_task-rest_vol-4,0.9596311986045352,0.999786336834046
sub-2051_ses-T1_task-rest_vol-5,0.9636544685088374,0.999670598709103
sub-2052_ses-T1_task-rest_vol-0,0.9386209645277004,0.9997695600665322
sub-2052_ses-T1_task-rest_vol-1,0.944672131147541,0.9996780405964224
sub-2052_ses-T1_task-rest_vol-2,0.9533057851239668,0.9996278487293692
sub-2052_ses-T1_task-rest_vol-3,0.9285989965264376,0.9997901897453022
sub-2052_ses-T1_task-rest_vol-4,0.941790445604175,0.9997872975264476
sub-2052_ses-T1_task-rest_vol-5,0.9524196827978854,0.9997193774314468
sub-2052_ses-T2_task-rest_vol-0,0.974091260634184,0.999559287713656
sub-2052_ses-T2_task-rest_vol-1,0.9550982226379794,0.9996543988178056
sub-2052_ses-T2_task-rest_vol-2,0.9680912782827306,0.9996069334556208
sub-2057_ses-T1_task-rest_vol-0,0.9382080329557158,0.9997011609444522
sub-2057_ses-T1_task-rest_vol-1,0.9664350614644576,0.999125549923561
sub-2057_ses-T1_task-rest_vol-2,0.9784472769409038,0.9975719245882502
sub-2057_ses-T1_task-rest_vol-3,0.9477859976412566,0.9994964798818085
sub-2057_ses-T1_task-rest_vol-4,0.9836877039037012,0.9983258206038488
sub-2057_ses-T1_task-rest_vol-5,0.91619288271215,0.9998340844781504
