id,sensitivity,specificity,precision,dice
sub-2006_ses-T1_task-rest_vol-0,0.9009348063615394,0.998100704722694,0.921519930460698,0.9111111111111112
sub-2006_ses-T1_task-rest_vol-1,0.8885091337654685,0.9978015500425554,0.9116082224909312,0.8999104744852283
sub-2006_ses-T1_task-rest_vol-2,0.8716075156576201,0.998832626289978,0.950904719726686,0.9095310136157336
sub-2006_ses-T1_task-rest_vol-3,0.8601785916129762,0.9989432326243056,0.9559100615500564,0.9055211803902904
sub-2006_ses-T1_task-rest_vol-4,0.8627406310513726,0.9986183562955092,0.942860699614092,0.9010230787532716
sub-2006_ses-T1_task-rest_vol-5,0.8986267723568159,0.9992199617510202,0.9688252286952336,0.9324066029539532
sub-2006_ses-T1_task-rest_vol-6,0.8316588066434283,0.9998641460218936,0.9944832659065832,0.9058120707944838
sub-2013_ses-T1_task-rest_vol-0,0.9599392181240504,0.9996524375810856,0.983581033262562,0.9716163310961968
sub-2013_ses-T1_task-rest_vol-1,0.949184351089938,0.9996976636283358,0.9848711803475136,0.966698522384768
sub-2013_ses-T1_task-rest_vol-2,0.9738639738639738,0.9993837095895984,0.9695446481371968,0.9716995110386724
sub-2013_ses-T1_task-rest_vol-3,0.9776172262360108,0.9994519858774066,0.9741671372106154,0.9758891324330056
sub-2013_ses-T1_task-rest_vol-4,0.975979036249818,0.9995001840639524,0.975694949788968,0.9758369723435224
sub-2013_ses-T1_task-rest_vol-5,0.1976953008081412,0.999712841374772,0.9322512350035286,0.3262131127299666
sub-2013_ses-T1_task-rest_vol-6,0.1053470511520069,0.9999850340176778,0.993169398907104,0.1904886676274073
sub-2013_ses-T1_task-rest_vol-7,0.1571633237822349,0.9999880243823576,0.9963669391462306,0.2715010518500185
sub-2013_ses-T1_task-rest_vol-8,0.2139367816091954,0.9999880250993916,0.9973208305425318,0.3523009582396782
sub-2013_ses-T1_task-rest_vol-9,0.139289282146425,1.0,1.0,0.2445196041588375
sub-2013_ses-T1_task-rest_vol-10,0.18158819395643,0.999994009770065,0.9984544049459042,0.3072898085384707
sub-2019_ses-T1_task-rest_vol-0,0.6785714285714286,0.999829347519066,0.9290953545232272,0.7843137254901961
sub-2019_ses-T1_task-rest_vol-1,0.7546833184656556,0.9998264047241452,0.934806629834254,0.8351431391905232
sub-2019_ses-T1_task-rest_vol-2,0.8003472222222222,0.999688088512241,0.896887159533074,0.8458715596330275
sub-2019_ses-T1_task-rest_vol-3,0.7533039647577092,0.9995792347958112,0.8567134268537074,0.8016877637130801
sub-2020_ses-T2_task-rest_vol-0,0.9832630637536732,0.9995017483829334,0.978885779699822,0.9810695391675696
sub-2020_ses-T2_task-rest_vol-1,0.98820815175596,0.9991506347729524,0.9645940197672964,0.976258309591643
sub-2020_ses-T2_task-rest_vol-2,0.987826987826988,0.9991088306778289,0.9625236593059936,0.9750111842525724
sub-2020_ses-T2_task-rest_vol-3,0.983956543708944,0.999333485450768,0.9722881038571964,0.9780875243297544
sub-2020_ses-T2_task-rest_vol-4,0.9865403788634096,0.9995194733427836,0.9801882119861316,0.9833540372670808
sub-2020_ses-T2_task-rest_vol-5,0.969423803142892,0.999468121869206,0.978242163491088,0.9738130200685268
sub-2020_ses-T2_task-rest_vol-6,0.9799327084835376,0.9994138335287222,0.9766467065868264,0.9782869481765836
sub-2029_ses-T1_task-rest_vol-0,0.4613800205973223,0.9995990364906716,0.9590214067278288,0.623025727624913
sub-2029_ses-T1_task-rest_vol-1,0.3654667480170835,0.9992793837983948,0.9086082669700416,0.5212661807897313
sub-2029_ses-T1_task-rest_vol-2,0.2850638860331914,0.9995032661745212,0.9212149976269578,0.4353970390309556
sub-2029_ses-T1_task-rest_vol-3,0.2504801536491677,0.9992740721267596,0.8655973451327433,0.3885302879841112
sub-2029_ses-T1_task-rest_vol-4,0.3080424886191198,0.9992284735139144,0.8872377622377622,0.4573102050011264
sub-2031_ses-T1_task-rest_vol-0,0.7728986471501441,0.9994620827798136,0.9506273867975996,0.8525993883792049
sub-2031_ses-T1_task-rest_vol-1,0.9569071657227284,0.9995251253223952,0.9604547701433516,0.9586776859504132
sub-2031_ses-T1_task-rest_vol-2,0.9432379072063178,0.9997417937911794,0.977743668457406,0.960180881798769
sub-2033_ses-T1_task-rest_vol-0,0.8619073372994411,0.99944551267719,0.9625528488020938,0.9094540612516644
sub-2033_ses-T1_task-rest_vol-1,0.915728296403923,0.9992428894201248,0.9520392749244712,0.933530827624514
sub-2033_ses-T1_task-rest_vol-2,0.9276100400145508,0.9992935790207872,0.955593029792018,0.9413936317489616
sub-2033_ses-T1_task-rest_vol-3,0.9210282966524876,0.9994546836121996,0.9645554909936084,0.9422894985808892
sub-2033_ses-T1_task-rest_vol-4,0.8297047970479705,0.9996096217801248,0.971694036300778,0.8951035031847133
sub-2033_ses-T1_task-rest_vol-5,0.799766036264379,0.999681417720916,0.9745782846281776,0.8785607196401799
sub-2035_ses-T1_task-rest_vol-0,0.0432541461228148,0.9999939771372128,0.9948453608247424,0.0829037800687285
sub-2035_ses-T1_task-rest_vol-1,0.0744692553074469,0.9999939741067366,0.9970544918998528,0.1385875127942681
sub-2035_ses-T1_task-rest_vol-2,0.0669379886473171,1.0,1.0,0.1254768118851636
sub-2035_ses-T1_task-rest_vol-3,0.2155902004454343,0.99997590448538,0.9958847736625516,0.3544489198095935
sub-2035_ses-T1_task-rest_vol-4,0.1644550793996084,0.9999819167083588,0.9960474308300395,0.2823002240477968
sub-2035_ses-T1_task-rest_vol-5,0.0213441330998248,1.0,1.0,0.0417961633265459
