id,sensitivity,specificity,precision,dice
sub-2006_ses-T1_task-rest_vol-0,0.9899235158431468,0.869546663461105,0.1581366483718946,0.2727090301003344
sub-2006_ses-T1_task-rest_vol-1,0.9956393635827931,0.8682133007726153,0.1616285298844417,0.2781097229766431
sub-2006_ses-T1_task-rest_vol-2,0.9906054279749478,0.87629148238409,0.1719964557573804,0.2931022649279341
sub-2006_ses-T1_task-rest_vol-3,0.9902791906861084,0.8768248806996944,0.1763734825760473,0.299419002050581
sub-2006_ses-T1_task-rest_vol-4,0.9889509055701105,0.8742072104342696,0.1720161673799334,0.2930583450068353
sub-2006_ses-T1_task-rest_vol-5,1.0,0.7940066559248272,0.1157923313597228,0.2075517604940274
sub-2006_ses-T1_task-rest_vol-6,0.99887225753537,0.8299923317976802,0.147496063945743,0.257037330167524
sub-2013_ses-T1_task-rest_vol-0,1.0,0.8675038126998109,0.1406723668869024,0.2466481541423193
sub-2013_ses-T1_task-rest_vol-1,1.0,0.8658255129989673,0.1338550724637681,0.2361061403957257
sub-2013_ses-T1_task-rest_vol-2,1.0,0.8832069838268642,0.147117296222664,0.2564991334488735
sub-2013_ses-T1_task-rest_vol-3,1.0,0.8858872887675072,0.1562935901693789,0.2703354779411764
sub-2013_ses-T1_task-rest_vol-4,1.0,0.8846981500824547,0.1513195576507908,0.2628628283871955
sub-2013_ses-T1_task-rest_vol-5,1.0,0.909335646555592,0.1806336505190311,0.3059944131519897
sub-2013_ses-T1_task-rest_vol-6,1.0,0.9103866910512404,0.1873235613463626,0.3155391966347363
sub-2013_ses-T1_task-rest_vol-7,1.0,0.910353520232806,0.1890420605042927,0.3179737147803111
sub-2013_ses-T1_task-rest_vol-8,0.9998563218390804,0.910897758298606,0.1895049289254398,0.3186209422645483
sub-2013_ses-T1_task-rest_vol-9,0.9995718567147138,0.9132805365510428,0.1947340617788528,0.3259645366966072
sub-2013_ses-T1_task-rest_vol-10,0.9974701335207308,0.9120574343246164,0.1946570119860665,0.3257447101482535
sub-2019_ses-T1_task-rest_vol-0,1.0,0.9078182374541004,0.0345146379044684,0.0667262436699434
sub-2019_ses-T1_task-rest_vol-1,1.0,0.9088330572481912,0.0349155921011648,0.0674752460348511
sub-2019_ses-T1_task-rest_vol-2,1.0,0.9069444444444444,0.0351476690261166,0.0679085121433624
sub-2019_ses-T1_task-rest_vol-3,1.0,0.9078347657985564,0.0349682666830981,0.0675736016431994
sub-2020_ses-T2_task-rest_vol-0,0.9105659895234444,0.8554740143772606,0.1289301349542313,0.2258775057443942
sub-2020_ses-T2_task-rest_vol-1,0.8742630094847476,0.8591584381283952,0.1269070477041006,0.2216409423233143
sub-2020_ses-T2_task-rest_vol-2,0.9327894327894328,0.860641521889159,0.1342665945905642,0.2347439260864605
sub-2020_ses-T2_task-rest_vol-3,0.887822132390096,0.8611608161500679,0.1319267157230815,0.2297182454075962
sub-2020_ses-T2_task-rest_vol-4,0.936689930209372,0.8632270968982004,0.1416589705411161,0.2460994417249226
sub-2020_ses-T2_task-rest_vol-5,0.907296869289804,0.8644852651728003,0.1417451708059758,0.2451855021891562
sub-2020_ses-T2_task-rest_vol-6,0.906873347752944,0.8631436558751916,0.1421950070654734,0.2458426307474306
sub-2029_ses-T1_task-rest_vol-0,0.9972046491099016,0.9392031598318348,0.2501476232654266,0.3999645944590328
sub-2029_ses-T1_task-rest_vol-1,0.9897803538743136,0.9375725101364686,0.2371103884240143,0.382572296082304
sub-2029_ses-T1_task-rest_vol-2,0.992509913349978,0.9400328562494202,0.2521829987312486,0.4021781176540601
sub-2029_ses-T1_task-rest_vol-3,0.9867157490396928,0.9419466816432857,0.2408391280568794,0.3871757834578911
sub-2029_ses-T1_task-rest_vol-4,0.9895295902883156,0.939889713578268,0.2449477875441364,0.3926893893773335
sub-2031_ses-T1_task-rest_vol-0,1.0,0.8381701304374961,0.076472982598962,0.1420806352507444
sub-2031_ses-T1_task-rest_vol-1,1.0,0.8375869243257521,0.06908459928891,0.129240659410604
sub-2031_ses-T1_task-rest_vol-2,1.0,0.8438564729625453,0.0715105095035561,0.1334760767520382
sub-2033_ses-T1_task-rest_vol-0,0.9998197223724536,0.90262785255407,0.1451490486534586,0.2534966633147454
sub-2033_ses-T1_task-rest_vol-1,0.9998183799491464,0.9022284089350971,0.1437111679632433,0.2513010134209805
sub-2033_ses-T1_task-rest_vol-2,0.9998181156784284,0.9020042087190828,0.1432480325220201,0.2505926331145149
sub-2033_ses-T1_task-rest_vol-3,0.9996301091178104,0.902784689422948,0.1421283757132714,0.2488719034901924
sub-2033_ses-T1_task-rest_vol-4,0.9998154981549816,0.9066936454769766,0.1475360740539069,0.2571293001186239
sub-2033_ses-T1_task-rest_vol-5,1.0,0.9055418429538236,0.139170782004667,0.2443369935450063
sub-2035_ses-T1_task-rest_vol-0,0.8909681757059614,0.9523591553537228,0.3344831938075807,0.4863740633124331
sub-2035_ses-T1_task-rest_vol-1,0.9176108238917612,0.958168248965806,0.375326194546927,0.5327457930197657
sub-2035_ses-T1_task-rest_vol-2,0.9028595908750134,0.953578266572191,0.3538151599093427,0.5083979133371529
sub-2035_ses-T1_task-rest_vol-3,0.8922048997772829,0.9520589617242752,0.3348238539011242,0.4869184721504755
sub-2035_ses-T1_task-rest_vol-4,0.8829671524907549,0.956509683602674,0.3600319318786588,0.5114989603679667
sub-2035_ses-T1_task-rest_vol-5,0.7980516637478109,0.952464321874548,0.3160929506633139,0.4528290168312527
sub-2035_ses-T1_task-rest_vol-6,0.7694527694527694,0.9525758849097696,0.3056976539072146,0.4375572037241597
sub-2035_ses-T1_task-rest_vol-7,0.7956666666666666,0.9497367406443528,0.3002767527675277,0.4360082805650268
sub-2035_ses-T1_task-rest_vol-8,0.8374619730551934,0.9471379314502032,0.3053036004277736,0.4474761255115961
sub-2037_ses-T1_task-rest_vol-0,1.0,0.8121322094398709,0.0785239313116551,0.1456137022683541
sub-2037_ses-T1_task-rest_vol-1,1.0,0.8125936317038811,0.0768068311863611,0.1426566566293788
sub-2037_ses-T1_task-rest_vol-2,1.0,0.8184598417216865,0.0829230097423619,0.1531466392280096
