id,sensitivity,specificity,precision,dice
sub-2006_ses-T1_task-rest_vol-0,0.8704625470438266,0.998725789244339,0.944166447195154,0.9058176994504452
sub-2006_ses-T1_task-rest_vol-1,0.8635238656452563,0.998929345848358,0.9536639333593648,0.906358238495794
sub-2006_ses-T1_task-rest_vol-2,0.8542101600556715,0.9994794957426965,0.9770496152825684,0.911509900990099
sub-2006_ses-T1_task-rest_vol-3,0.8457104103085792,0.9995905402760844,0.982147545287477,0.9088369268144548
sub-2006_ses-T1_task-rest_vol-4,0.8424649732315753,0.9993407843762888,0.9712409717662508,0.9022813224350372
sub-2006_ses-T1_task-rest_vol-5,0.8920397454504857,0.9995090878973604,0.9800073592542622,0.93395675043834
sub-2006_ses-T1_task-rest_vol-6,0.8327865491080583,0.9999245255677188,0.99693176239568,0.9074963691207686
sub-2013_ses-T1_task-rest_vol-0,0.968503937007874,0.9996943847695752,0.9856600590468156,0.9770066889632107
sub-2013_ses-T1_task-rest_vol-1,0.95337086761946,0.9997006570577582,0.9850835322195703,0.9689677939989728
sub-2013_ses-T1_task-rest_vol-2,0.9772794772794772,0.9995063693314744,0.9755410613697004,0.9764094955489614
sub-2013_ses-T1_task-rest_vol-3,0.9787505312367192,0.999445996652023,0.9739216239075276,0.9763301066911608
sub-2013_ses-T1_task-rest_vol-4,0.975687873052846,0.9995959571774466,0.9802544975866608,0.9779658543703488
sub-2013_ses-T1_task-rest_vol-5,0.945824603412152,0.998280039484311,0.9166062364031908,0.9309862267069308
sub-2013_ses-T1_task-rest_vol-6,0.969714534125489,0.9992127893298532,0.9621854780733284,0.9659353348729792
sub-2013_ses-T1_task-rest_vol-7,0.9563037249283668,0.9993473288384848,0.9683737124619178,0.9623008721977944
sub-2013_ses-T1_task-rest_vol-8,0.9652298850574712,0.9991707381328736,0.9604002859185132,0.962809029021856
sub-2013_ses-T1_task-rest_vol-9,0.9601826744683888,0.9992724224141802,0.9651412996700616,0.9626556016597512
sub-2013_ses-T1_task-rest_vol-10,0.9234012649332396,0.9994698646507546,0.9737661182747888,0.9479151637570336
sub-2019_ses-T1_task-rest_vol-0,0.875,0.9985023773655964,0.6581598388179987,0.7512456880030663
sub-2019_ses-T1_task-rest_vol-1,0.872435325602141,0.9984082195891972,0.6438446346280448,0.740909090909091
sub-2019_ses-T1_task-rest_vol-2,0.8654513888888888,0.9988082627118644,0.7111269614835949,0.7807361002349256
sub-2019_ses-T1_task-rest_vol-3,0.8449339207048459,0.9986023533427294,0.6687587168758717,0.7465940054495913
sub-2020_ses-T2_task-rest_vol-0,0.987734764277501,0.9992436180271036,0.9684329199549042,0.977988614800759
sub-2020_ses-T2_task-rest_vol-1,0.9908997692899256,0.998970557339656,0.9575179588803568,0.9739229024943312
sub-2020_ses-T2_task-rest_vol-2,0.9917119917119918,0.9989407987517628,0.955935588565722,0.9734952011695164
sub-2020_ses-T2_task-rest_vol-3,0.9878726629610914,0.9991743626079334,0.9660284126003706,0.9768284304540628
sub-2020_ses-T2_task-rest_vol-4,0.9889082751744764,0.9993182528050744,0.9721881891693211,0.98047695539355
sub-2020_ses-T2_task-rest_vol-5,0.9763674016323548,0.999432062334915,0.976962457337884,0.9766648388472552
sub-2020_ses-T2_task-rest_vol-6,0.9831771208844028,0.9992304686325788,0.9696610571225408,0.9763723150357996
sub-2029_ses-T1_task-rest_vol-0,0.8802412829189348,0.999509268540822,0.973320318854726,0.9244437577255872
sub-2029_ses-T1_task-rest_vol-1,0.8412141549725443,0.9991478190146994,0.9508620689655172,0.8926837164130786
sub-2029_ses-T1_task-rest_vol-2,0.8406520781318843,0.9994075102563564,0.9665653495440728,0.8992223705914696
sub-2029_ses-T1_task-rest_vol-3,0.8740396927016645,0.9988946777238724,0.9365460469902248,0.9042139249937908
sub-2029_ses-T1_task-rest_vol-4,0.8707132018209408,0.998863643160029,0.937888198757764,0.9030531948378974
sub-2031_ses-T1_task-rest_vol-0,0.8099356841871812,0.9997295554307348,0.9756879508415708,0.8851187590887057
sub-2031_ses-T1_task-rest_vol-1,0.9517360256094558,0.999584484657096,0.965043695380774,0.9583436647656832
sub-2031_ses-T1_task-rest_vol-2,0.9338598223099704,0.9997388259037218,0.9772727272727272,0.9550731953558808
sub-2033_ses-T1_task-rest_vol-0,0.9370831079862988,0.998840346405521,0.9303740826919636,0.9337165439195256
sub-2033_ses-T1_task-rest_vol-1,0.946785325099891,0.9987510656182376,0.9256036931818182,0.9360746992278686
sub-2033_ses-T1_task-rest_vol-2,0.9285194616224082,0.9990372406063894,0.940493736182756,0.934468240893282
sub-2033_ses-T1_task-rest_vol-3,0.944331422230442,0.9993682673540236,0.9601353892440768,0.9521678321678322
sub-2033_ses-T1_task-rest_vol-4,0.9472324723247232,0.999135803940734,0.9465339233038348,0.9468830689782368
sub-2033_ses-T1_task-rest_vol-5,0.9707545330473776,0.9994521575761546,0.9643618051520434,0.9675476097940148
sub-2035_ses-T1_task-rest_vol-0,0.8536530703720305,0.999006227640122,0.9584801207851033,0.9030346135609294
sub-2035_ses-T1_task-rest_vol-1,0.8779012209877901,0.9993702941539796,0.9744810744810743,0.9236733985301776
sub-2035_ses-T1_task-rest_vol-2,0.8518796187212166,0.9995024950626404,0.9796773001601182,0.911319890009166
sub-2035_ses-T1_task-rest_vol-3,0.8497772828507795,0.9993584569232438,0.9728454869964304,0.9071564431764146
sub-2035_ses-T1_task-rest_vol-4,0.8434848814444202,0.9992284462233044,0.9680439395830732,0.9014821272885788
