id,sensitivity,specificity
sub-2006_ses-T1_task-rest_vol-0,0.8704625470438266,0.998725789244339
sub-2006_ses-T1_task-rest_vol-1,0.8635238656452563,0.998929345848358
sub-2006_ses-T1_task-rest_vol-2,0.8542101600556715,0.9994794957426965
sub-2006_ses-T1_task-rest_vol-3,0.8457104103085792,0.9995905402760844
sub-2006_ses-T1_task-rest_vol-4,0.8424649732315753,0.9993407843762888
sub-2006_ses-T1_task-rest_vol-5,0.8920397454504857,0.9995090878973604
sub-2006_ses-T1_task-rest_vol-6,0.8327865491080583,0.9999245255677188
sub-2013_ses-T1_task-rest_vol-0,0.968503937007874,0.9996943847695752
sub-2013_ses-T1_task-rest_vol-1,0.95337086761946,0.9997006570577582
sub-2013_ses-T1_task-rest_vol-2,0.9772794772794772,0.9995063693314744
sub-2013_ses-T1_task-rest_vol-3,0.9787505312367192,0.999445996652023
sub-2013_ses-T1_task-rest_vol-4,0.975687873052846,0.9995959571774466
sub-2013_ses-T1_task-rest_vol-5,0.945824603412152,0.998280039484311
sub-2013_ses-T1_task-rest_vol-6,0.969714534125489,0.9992127893298532
sub-2013_ses-T1_task-rest_vol-7,0.9563037249283668,0.9993473288384848
sub-2013_ses-T1_task-rest_vol-8,0.9652298850574712,0.9991707381328736
sub-2013_ses-T1_task-rest_vol-9,0.9601826744683888,0.9992724224141802
sub-2013_ses-T1_task-rest_vol-10,0.9234012649332396,0.9994698646507546
sub-2019_ses-T1_task-rest_vol-0,0.875,0.9985023773655964
sub-2019_ses-T1_task-rest_vol-1,0.872435325602141,0.9984082195891972
sub-2019_ses-T1_task-rest_vol-2,0.8654513888888888,0.9988082627118644
sub-2019_ses-T1_task-rest_vol-3,0.8449339207048459,0.9986023533427294
sub-2020_ses-T2_task-rest_vol-0,0.987734764277501,0.9992436180271036
sub-2020_ses-T2_task-rest_vol-1,0.9908997692899256,0.998970557339656
sub-2020_ses-T2_task-rest_vol-2,0.9917119917119918,0.9989407987517628
sub-2020_ses-T2_task-rest_vol-3,0.9878726629610914,0.9991743626079334
sub-2020_ses-T2_task-rest_vol-4,0.9889082751744764,0.9993182528050744
sub-2020_ses-T2_task-rest_vol-5,0.9763674016323548,0.999432062334915
sub-2020_ses-T2_task-rest_vol-6,0.9831771208844028,0.9992304686325788
sub-2029_ses-T1_task-rest_vol-0,0.8802412829189348,0.999509268540822
sub-2029_ses-T1_task-rest_vol-1,0.8412141549725443,0.9991478190146994
sub-2029_ses-T1_task-rest_vol-2,0.8406520781318843,0.9994075102563564
sub-2029_ses-T1_task-rest_vol-3,0.8740396927016645,0.9988946777238724
sub-2029_ses-T1_task-rest_vol-4,0.8707132018209408,0.998863643160029
sub-2031_ses-T1_task-rest_vol-0,0.8099356841871812,0.9997295554307348
sub-2031_ses-T1_task-rest_vol-1,0.9517360256094558,0.999584484657096
sub-2031_ses-T1_task-rest_vol-2,0.9338598223099704,0.9997388259037218
sub-2033_ses-T1_task-rest_vol-0,0.9370831079862988,0.998840346405521
sub-2033_ses-T1_task-rest_vol-1,0.946785325099891,0.9987510656182376
sub-2033_ses-T1_task-rest_vol-2,0.9285194616224082,0.9990372406063894
sub-2033_ses-T1_task-rest_vol-3,0.944331422230442,0.9993682673540236
sub-2033_ses-T1_task-rest_vol-4,0.9472324723247232,0.999135803940734
sub-2033_ses-T1_task-rest_vol-5,0.9707545330473776,0.9994521575761546
sub-2035_ses-T1_task-rest_vol-0,0.8536530703720305,0.999006227640122
sub-2035_ses-T1_task-rest_vol-1,0.8779012209877901,0.9993702941539796
sub-2035_ses-T1_task-rest_vol-2,0.8518796187212166,0.9995024950626404
sub-2035_ses-T1_task-rest_vol-3,0.8497772828507795,0.9993584569232438
sub-2035_ses-T1_task-rest_vol-4,0.8434848814444202,0.9992284462233044
sub-2035_ses-T1_task-rest_vol-5,0.7643388791593695,0.9994395159346222
sub-2035_ses-T1_task-rest_vol-6,0.7401487401487401,0.9990571806387676
sub-2035_ses-T1_task-rest_vol-7,0.7623333333333333,0.9992198607195354
sub-2035_ses-T1_task-rest_vol-8,0.7960669274228597,0.9994544709272186
sub-2037_ses-T1_task-rest_vol-0,0.9916247906197656,0.9988051927930184
sub-2037_ses-T1_task-rest_vol-1,0.9742120343839542,0.998787813805818
sub-2037_ses-T1_task-rest_vol-2,0.974033048846922,0.9993472137353384
sub-2037_ses-T1_task-rest_vol-3,0.9795489296636084,0.9992405289492494
sub-2037_ses-T1_task-rest_vol-4,0.9663996874389528,0.9991991020415456
sub-2037_ses-T1_task-rest_vol-5,0.9775704644700278,0.9987855480214554
sub-2037_ses-T1_task-rest_vol-6,0.9897617641267966,0.9992736214436476
sub-2040_ses-T1_task-rest_vol-0,0.942090395480226,0.999672654120392
sub-2040_ses-T1_task-rest_vol-1,0.9116182572614108,0.9997352545720642
sub-2040_ses-T1_task-rest_vol-2,0.9269269269269268,0.9998095221088285
sub-2040_ses-T1_task-rest_vol-3,0.7903118779031187,0.9999582044637632
sub-2040_ses-T1_task-rest_vol-4,0.7555452865064695,1.0
sub-2040_ses-T1_task-rest_vol-5,0.8264131193300768,0.9997583964684126
sub-2041_ses-T1_task-rest_vol-0,0.8616774193548387,0.99938893618536
sub-2041_ses-T1_task-rest_vol-1,0.8606693567529077,0.99975651688496
sub-2041_ses-T1_task-rest_vol-2,0.8702179176755448,0.9993587878715914
sub-2041_ses-T1_task-rest_vol-3,0.8047945205479452,0.9996230380167644
sub-2041_ses-T1_task-rest_vol-4,0.8158713692946058,0.9994304968914622
sub-2041_ses-T1_task-rest_vol-5,0.9165204311857608,0.9994925861194114
sub-2047_ses-T1_task-rest_vol-0,0.959506172839506,0.9996312325388608
sub-2047_ses-T1_task-rest_vol-1,0.9631713554987212,0.9995664190044156
sub-2047_ses-T1_task-rest_vol-2,0.9717333333333332,0.9995193399328256
sub-2047_ses-T1_task-rest_vol-3,0.9620052770448548,0.9994691784356688
sub-2048_ses-T1_task-rest_vol-0,0.9741589468551926,0.9995338421731216
sub-2048_ses-T1_task-rest_vol-1,0.9774964838255976,0.9995012674888376
sub-2048_ses-T1_task-rest_vol-2,0.959944108057755,0.9996606117841492
sub-2048_ses-T1_task-rest_vol-3,0.9227567067530064,0.999740282737656
sub-2051_ses-T1_task-rest_vol-0,0.9803921568627452,0.9992821462048672
sub-2051_ses-T1_task-rest_vol-1,0.98928475756764,0.9989533266717864
sub-2051_ses-T1_task-rest_vol-2,0.9943805191329944,0.9989859305273456
sub-2051_ses-T1_task-rest_vol-3,0.9666076397672654,0.9996765952901592
sub-2051_ses-T1_task-rest_vol-4,0.9768253177174184,0.9995637710361772
sub-2051_ses-T1_task-rest_vol-5,0.9860592481951704,0.9995429928036204
sub-2052_ses-T1_task-rest_vol-0,0.957353527301714,0.9996129790860988
sub-2052_ses-T1_task-rest_vol-1,0.9700819672131148,0.9994122025567712
sub-2052_ses-T1_task-rest_vol-2,0.9710743801652892,0.9993443049041268
sub-2052_ses-T1_task-rest_vol-3,0.944808954071787,0.9997104027470368
